OXO XXOXOXXXOOXO,0
XOXOXOOXO XOXOX ,1
XXOXOXOXO OXXOXO,0
O OXXO XOXX XXOO,0
OXXXOO XOOXOXXOX,0
OXOOXXOOXOXXOOXX,1
OOOXXXOXXOOXXXOO,1
OX OX XXXOOOOXXO,1
OX  OOOO  X  XXX,1
OXXOXXOOXXXXOOOO,1
 X O OO OXX  X  ,1
OXOOXXXX XOXOOXO,0
OXOOOOXX X  OX X,1
OOXXOOOOXXXOXOXX,1
O  O XOXOO XX X ,1
OXXO XOOXXOXOXXO,0
XOOOXO  OXO X XX,1
OOOOOXXOXOXXXOXX,1
XXOO OXXOXOOXOX ,1
XO X OX XOX OXO ,0
OXOOXOXXO OXXXO ,1
 X O XOXXOO OXOX,1
OOOX XXX XXOOOX ,0
XXO OX XOXOOX OX,0
 X OXXOX XOOOXOX,0
XOOO O  O X X XX,1
 XOOXXXX OXOOOX ,0
X OXOOXOXOXOXOXX,0
OXXXOXOXOOXO XXO,0
 X  X   X O XO O,0
OO XOXX XOXXXOO ,0
O OOOO X  X  XXX,1
OXOXXXXXOOOXO XO,0
XXOOOXXOXOOXOOXX,1
XOXOOOOXXXOOOXXX,1
 XOOOO   XO XX X,1
  XXOX O OOXO X ,1
OXXXXOXOOXOXOOXO,1
OX OXXXXOXXOOXOO,0
XXO XOOXO OOXOXX,1
XX XOO XOOOO X X,1
XOO  OXOXOOXOXXX,1
XXOOOOOXXOXOXX  ,1
OOOOOOXXXXXOOXXX,1
OXOOXOXXOOXXOOXX,1
XXOX OOXXXXOOOO ,1
OOXO XXX XOXOOX ,0
X O XX  X   XOOO,0
XOXOXOOOOXXXXXOO,1
 X  XXOOXOO X   ,0
